cveID,count
CVE-2016-0162,1
CVE-2017-18362,1
CVE-2017-8543,1
CVE-2017-8291,1
CVE-2019-7286,1
CVE-2019-7287,1
CVE-2019-0676,1
CVE-2019-1130,1
CVE-2019-8506,1
CVE-2021-1789,1
CVE-2022-1388,1
CVE-2022-22947,1
CVE-2022-30525,1
CVE-2018-8589,1
CVE-2018-5002,1
CVE-2019-1385,1
CVE-2019-5786,1
CVE-2019-18426,1
CVE-2019-8720,1
CVE-2019-11708,1
CVE-2019-11707,1
CVE-2019-13720,1
CVE-2019-0880,1
CVE-2019-0703,1
CVE-2017-0210,1
CVE-2017-0005,1
CVE-2016-3393,1
CVE-2017-0022,1
CVE-2014-4123,1
CVE-2014-8439,1
CVE-2014-4148,1
CVE-2015-1671,1
CVE-2015-6175,1
CVE-2015-8651,1
CVE-2015-4495,1
CVE-2015-1769,1
CVE-2015-2425,1
CVE-2015-2360,1
CVE-2015-0071,1
CVE-2015-0016,1
CVE-2015-0310,1
CVE-2016-0034,1
CVE-2016-0984,1
CVE-2016-1010,1
CVE-2016-7256,1
CVE-2014-0546,1
CVE-2014-2817,1
CVE-2014-4077,1
CVE-2010-1428,1
CVE-2017-0147,1
CVE-2018-19943,1
CVE-2018-19949,1
CVE-2018-19953,1
CVE-2018-8611,1
CVE-2010-0738,1
CVE-2010-0840,1
CVE-2012-1710,1
CVE-2014-3153,1
CVE-2013-0074,1
CVE-2013-0422,1
CVE-2013-0431,1
CVE-2013-2423,1
CVE-2013-3896,1
CVE-2013-3993,1
CVE-2013-7331,1
CVE-2018-7445,1
CVE-2022-26258,1
CVE-2023-24489,1
CVE-2023-33009,1
CVE-2023-29336,1
CVE-2016-8735,1
CVE-2016-3427,1
CVE-2015-5317,1
CVE-2010-3904,1
CVE-2014-0196,1
CVE-2021-3560,1
CVE-2023-25717,1
CVE-2023-21492,1
CVE-2016-6415,1
CVE-2004-1464,1
CVE-2023-32373,1
CVE-2023-28204,1
